0,,
49,,
M-D-Y,HH:MM/s,mm/h
,0,2.331222026
,300,12.24930227
,600,13.38259931
,900,14.7628674
,1200,16.49166473
,1500,18.70517158
,1800,21.63881831
,2100,25.71961092
,2400,31.74847422
,2700,41.47497879
,3000,59.5107896
,3300,102.3452632
,3600,289.5816303
,3900,216.3581773
,4200,89.76589684
,4500,54.79064203
,4800,39.08374511
,5100,30.32435146
,5400,24.78250583
,5700,20.97869009
,6000,18.21353763
,6300,16.11312967
,6600,14.46280912
,6900,13.13793641
,7200,12.04618589
,7500,0
,7800,0
,8100,0
,8400,0
,8700,0
,9000,0
,9300,0
,9600,0
,9900,0
,10200,0
,10500,0
,10800,0
,11100,0
,11400,0
,11700,0
,12000,0
,12300,0
,12600,0
,12900,0
,13200,0
,13500,0
,13800,0
,14100,0
,14400,0
